  #ts device    rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
198.6 {41}     876.4    16.0    13.7     0%    0.1     3.4     0.0     0.0     0.0     0%    0.0     0.0   7%      3   876.4   -0.0   3.4
199.6 {41}     870.4    16.0    13.6     0%    0.1     3.4   138.6     2.5     0.3    43%    0.0     0.0   7%      3  1009.0   -0.0   2.6
200.6 {41}     816.5    16.0    12.8     0%    0.1     3.6    14.0     1.7     0.0    22%    0.0     0.0   7%      3   830.4   -0.0   3.5
201.6 {41}     875.4    16.0    13.6     0%    0.1     3.4     0.0     0.0     0.0     0%    0.0     0.0   7%      3   875.4   -0.0   3.4
202.6 {41}     861.4    16.0    13.5     0%    0.1     3.4    12.0     1.3     0.0     0%    0.0     0.0   7%      3   873.3   -0.0   3.4
203.6 {41}     880.3    15.9    13.7     1%    0.1     3.3     0.0     0.0     0.0     0%    0.0     0.0   7%      3   880.3   -0.0   3.3
204.6 {41}     889.3    15.9    13.8     1%    0.1     3.3    80.8     2.6     0.2    49%    0.0     0.0   7%      3   970.1    0.0   2.8
205.6 {41}     890.3    15.9    13.8     0%    0.1     3.3     7.0     5.1     0.0    22%    0.0     0.0   7%      3   897.3    0.0   3.3
206.6 {41}     904.2    15.9    14.1     1%    0.1     3.3     0.0     0.0     0.0     0%    0.0     0.0   7%      3   904.2    0.0   3.2
207.6 {41}     914.2    16.0    14.3     0%    0.1     3.2   140.6     1.4     0.2     8%    0.0     0.1   7%      3  1054.8   -0.0   2.8
208.6 {41}     870.3    16.0    13.6     0%    0.1     3.4     0.0     0.0     0.0     0%    0.0     0.0   7%      3   870.3   -0.0   3.4
209.6 {41}     915.3    16.0    14.3     0%    0.1     3.2    94.7     2.8     0.3    53%    0.0     0.0   7%      3  1010.0   -0.0   2.7
210.6 {41}     910.2    15.9    14.2     1%    0.1     3.3     0.0     0.0     0.0     0%    0.0     0.0   7%      3   910.2    0.0   3.2
211.6 {41}     840.5    16.0    13.1     0%    0.1     3.6     7.0     5.1     0.0    22%    0.0     0.0   7%      3   847.4   -0.0   3.5
212.6 {41}     825.5    16.0    12.9     0%    0.1     3.6     0.0     0.0     0.0     0%    0.0     0.0   7%      3   825.5   -0.0   3.6
213.6 {41}     902.3    16.0    14.1     0%    0.1     3.3     0.0     0.0     0.0     0%    0.0     0.0   7%      3   902.3   -0.0   3.3
214.6 {41}     867.3    16.0    13.6     0%    0.1     3.4    48.8     2.5     0.1    47%    0.0     0.0   7%      3   916.2   -0.0   3.1
215.7 {41}     470.6    15.9     7.3     1%    0.0     3.2  4699.9    15.8    72.7     0%    0.0     0.3   7%      3  5170.5    0.0   0.6
216.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  7156.8    15.9   111.2     0%    0.1     0.4   7%      3  7156.8    0.0   0.4
217.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8693.3    15.9   134.7     0%    0.1     0.3   7%      3  8693.3    0.0   0.3
218.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8380.8    15.8   129.6     0%    0.1     0.3   7%      3  8380.8    0.0   0.3
219.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8537.4    15.8   131.7     0%    0.1     0.3   7%      3  8537.4    0.0   0.3
220.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8527.5    15.9   132.4     0%    0.1     0.3   7%      3  8527.5    0.0   0.3
221.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8634.8    15.8   133.5     0%    0.1     0.3   7%      3  8634.8    0.0   0.3
222.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  7966.8    15.9   123.4     0%    0.1     0.4   7%      3  7966.8    0.0   0.4
223.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  7058.2    15.9   109.6     0%    0.1     0.4   7%      3  7058.2    0.0   0.4
224.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  8259.4    15.8   127.2     0%    0.1     0.4   7%      2  8259.4    0.0   0.3
225.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  4491.6    15.9    69.5     0%    0.1     0.7   7%      2  4491.6    0.0   0.6
226.7 {41}       0.0     0.0     0.0     0%    0.0     0.0  3500.2    15.9    54.3     0%    0.1     0.8   7%      3  3500.2    0.0   0.8
227.7 {41}      30.9    16.0     0.5     0%    0.1    81.8  3201.0    15.9    49.6     0%    0.1     0.9   7%      6  3231.9    0.8   0.9
228.7 {41}      38.9    16.0     0.6     0%    0.1    75.8  3117.3    15.8    48.0     1%    0.1     1.0   7%      4  3156.1    0.9   0.9
229.7 {41}      44.8    16.0     0.7     0%    0.1    67.7  3538.4    15.4    53.2     5%    0.1     0.8   7%      6  3583.2    0.8   0.8
230.7 {41}      50.8    16.0     0.8     0%    0.1    57.8  2264.2    15.9    35.2     0%    0.1     1.3   7%      6  2315.0    1.3   1.3
231.7 {41}      44.9    16.0     0.7     0%    0.1    68.1  2961.0    15.9    45.9     0%    0.1     1.0   7%      6  3005.9    1.0   1.0
232.7 {41}      46.9    15.3     0.7     8%    0.1    56.0  3194.0    15.9    49.6     0%    0.1     0.9   7%      6  3240.8    0.9   0.9
233.7 {41}      76.8    15.6     1.2     5%    0.1    36.6  2944.5    15.7    45.1     1%    0.1     1.0   7%      6  3021.3    1.0   1.0
234.7 {41}      76.8    15.6     1.2     5%    0.1    37.8  3111.4    15.5    47.1     1%    0.1     0.9   7%      6  3188.2    0.9   0.9
235.7 {41}      53.8    16.0     0.8     0%    0.1    58.5  3687.5    15.8    56.8     0%    0.1     0.8   7%      6  3741.4    0.8   0.8
236.7 {41}      41.9    16.0     0.7     0%    0.1    71.1  3751.2    15.8    58.1     0%    0.1     0.8   7%      6  3793.1    0.8   0.8
237.7 {41}      71.8    16.0     1.1     0%    0.1    40.9  3991.6    15.8    61.4     0%    0.1     0.7   7%      6  4063.4    0.7   0.7
238.7 {41}      50.8    14.6     0.7     0%    0.1    60.7  4059.9    15.9    63.0     1%    0.1     0.7   7%      5  4110.7    0.7   0.7
239.7 {41}      62.8    15.4     0.9     0%    0.1    45.7  3018.6    15.8    46.4     1%    0.1     0.9   7%      6  3081.4    0.9   1.0
240.7 {41}      41.9    16.0     0.7     0%    0.1    72.6  2635.0    15.8    40.8     0%    0.1     1.2   7%      6  2676.9    1.1   1.1
241.7 {41}      59.8    16.0     0.9     0%    0.1    50.7  6406.8    15.9    99.6     0%    0.1     0.5   7%      6  6466.6    0.4   0.5
242.7 {41}      50.8    16.0     0.8     0%    0.1    55.9  3674.9    15.6    56.0     0%    0.1     0.7   7%      6  3725.8    0.8   0.8
243.7 {41}      59.8    16.0     0.9     0%    0.1    50.5  4738.7    15.8    73.2     0%    0.1     0.7   7%      6  4798.5    0.6   0.6
244.7 {41}      44.9    16.0     0.7     0%    0.1    68.3  4191.3    15.7    64.2     1%    0.1     0.7   7%      6  4236.1    0.7   0.7
245.7 {41}      38.9    16.0     0.6     0%    0.1    74.2  4160.5    15.9    64.4     0%    0.1     0.7   7%      6  4199.4    0.7   0.7
246.7 {41}      38.9    16.0     0.6     0%    0.1    72.0  4094.8    16.0    63.8     0%    0.1     0.7   7%      6  4133.7    0.7   0.7
247.8 {41}      50.8    16.0     0.8     0%    0.1    63.6  4635.7    15.9    72.1     0%    0.1     0.6   7%      6  4686.5    0.6   0.6
248.8 {41}      26.9    16.0     0.4     0%    0.1   113.6  1671.9    15.9    25.9     0%    0.1     1.9   7%      6  1698.8    1.7   1.8
249.8 {41}      26.9    16.0     0.4     0%    0.0    64.0  4150.4    15.7    63.6     1%    0.1     0.6   7%      6  4177.3    0.7   0.7
250.8 {41}      41.9    16.0     0.7     0%    0.1    99.1  4569.9    15.9    70.9     0%    0.1     0.8   7%      6  4611.8    0.6   0.6
251.8 {41}      15.0    16.0     0.2     0%    0.1   170.2  4465.9    15.8    69.0     0%    0.1     0.7   7%      6  4480.9    0.6   0.7
252.8 {41}      29.9    16.0     0.5     0%    0.1   118.9  4021.6    15.9    62.4     0%    0.1     0.7   7%      6  4051.5    0.7   0.7
253.8 {41}      56.8    16.0     0.9     0%    0.1    52.0  4681.0    16.0    73.0     0%    0.1     0.6   7%      6  4737.8    0.6   0.6
254.8 {41}      74.8    16.0     1.2     0%    0.1    38.6  4723.6    15.7    72.3     1%    0.1     0.6   7%      6  4798.4    0.6   0.6
255.8 {41}      35.9    16.0     0.6     0%    0.1    86.6  4749.7    16.0    74.0     0%    0.1     0.6   7%      6  4785.6    0.6   0.6
256.8 {41}      47.9    16.0     0.7     0%    0.1    52.2   960.1    15.9    14.9     0%    0.1     3.2   7%      6  1007.9    2.9   3.0
257.8 {41}      78.8    16.0     1.2     0%    0.1    48.5   986.0    15.8    15.2     1%    0.1     2.3   7%      6  1064.8    2.8   2.8
258.8 {41}     767.6    16.0    12.0     1%    0.2     8.2     0.0     0.0     0.0     0%    0.0     0.0   7%      4   767.6    3.8   3.9
259.8 {41}     929.2    16.0    14.5     0%    0.1     5.9    61.8     2.5     0.1    46%    0.0     0.0   7%      6   991.0    2.8   2.9
260.8 {41}    1377.9    16.0    21.5     0%    0.2     4.7     0.0     0.0     0.0     0%    0.0     0.0   7%      6  1377.9    2.1   2.2
261.8 {41}    1251.2    15.9    19.5     1%    0.1     4.6     0.0     0.0     0.0     0%    0.0     0.0   7%      6  1251.2    2.3   2.4
262.8 {41}    1259.2    16.0    19.6     0%    0.1     4.8    29.9     5.3     0.2    38%    0.0     0.9   7%      6  1289.1    2.3   2.3
263.8 {41}    1462.7    16.0    22.8     1%    0.1     3.9     0.0     0.0     0.0     0%    0.0     0.0   7%      6  1462.7    1.9   2.0
264.8 {41}    1462.5    15.9    22.7     1%    0.1     2.7    56.8     2.2     0.1    39%    0.0     0.0   7%      3  1519.3    0.6   1.9
265.8 {41}    1906.1    16.0    29.7     0%    0.1     1.5     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1906.1    0.0   1.5
266.8 {41}    1368.0    16.0    21.3     1%    0.1     1.7     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1368.0   -0.0   2.2
267.8 {41}    1260.2    15.9    19.6     1%    0.1     2.8    15.0     1.3     0.0     0%    0.0     1.2   7%      3  1275.1   -0.0   2.3
268.8 {41}    1942.0    16.0    30.3     0%    0.1     1.5    18.9     8.2     0.2    51%    0.0     0.1   7%      3  1961.0    0.0   1.5
269.8 {41}    1828.6    16.0    28.5     0%    0.1     1.6    82.8     2.3     0.2    41%    0.0     0.0   7%      3  1911.4    0.0   1.5
270.8 {41}    1621.1    15.9    25.2     1%    0.1     1.8     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1621.1    0.0   1.8
271.8 {41}    1906.2    16.0    29.7     0%    0.1     1.5     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1906.2    0.0   1.5
272.8 {41}    1813.5    16.0    28.3     0%    0.1     1.6     4.0     2.0     0.0    33%    0.0     1.3   7%      3  1817.5    0.0   1.6
273.8 {41}    1923.2    16.0    30.0     1%    0.1     1.5     7.0     5.1     0.0    22%    0.0     0.0   7%      3  1930.2    0.0   1.5
274.8 {41}    2060.7    16.0    32.1     1%    0.1     1.4    47.9     2.5     0.1    47%    0.0     0.0   7%      3  2108.5   -0.0   1.4
275.8 {41}    1562.3    16.0    24.3     1%    0.1     1.9     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1562.3   -0.0   1.9
276.8 {41}    1861.2    16.0    29.0     0%    0.1     1.6     0.0     0.0     0.0     0%    0.0     0.0   7%      3  1861.2   -0.0   1.6
277.8 {41}    1974.0    16.0    30.8     1%    0.1     1.5   134.6     1.8     0.2    26%    0.0     0.1   7%      3  2108.6    0.0   1.4
278.8 {41}    1882.3    15.9    29.3     0%    0.1     1.6     7.0     5.1     0.0    22%    0.0     0.0   7%      3  1889.3   -0.0   1.6
279.8 {41}    2174.5    16.0    33.9     1%    0.1     1.3    33.9     2.4     0.1    43%    0.0     0.0   7%      3  2208.4   -0.0   1.3
